iter	Passed	Remaining
463	1086	786
464	1088	784
465	1090	781
466	1093	779
467	1095	777
468	1097	774
469	1099	772
470	1102	769
471	1105	768
472	1107	765
473	1109	763
474	1112	761
475	1114	758
476	1117	756
477	1119	754
478	1121	751
479	1123	749
480	1125	746
481	1127	744
482	1130	741
483	1132	739
484	1134	737
485	1137	734
486	1139	732
487	1141	729
488	1143	727
489	1145	725
490	1148	722
491	1150	720
492	1152	717
493	1154	715
494	1156	712
495	1159	710
496	1161	708
497	1163	705
498	1165	703
499	1168	700
500	1170	698
501	1172	696
502	1175	693
503	1177	691
504	1179	689
505	1182	686
506	1184	684
507	1186	682
508	1189	679
509	1191	677
510	1193	674
511	1195	672
512	1197	670
513	1199	667
514	1202	665
515	1204	662
516	1206	660
517	1209	658
518	1211	655
519	1213	653
520	1215	651
521	1217	648
522	1220	646
523	1222	643
524	1224	641
525	1226	638
526	1228	636
527	1230	634
528	1233	631
529	1235	629
530	1237	626
531	1239	624
532	1242	622
533	1245	620
534	1247	617
535	1249	615
536	1251	613
537	1253	610
538	1256	608
539	1258	605
540	1260	603
541	1262	601
542	1264	598
543	1267	596
544	1269	594
545	1271	591
546	1274	589
547	1276	587
548	1279	584
549	1281	582
550	1285	580
551	1287	578
552	1289	576
553	1291	573
554	1294	571
555	1296	568
556	1298	566
557	1301	564
558	1303	561
559	1305	559
560	1307	557
561	1310	554
562	1312	552
563	1314	550
564	1317	547
565	1319	545
566	1321	543
567	1324	540
568	1326	538
569	1328	536
570	1330	533
571	1333	531
572	1335	529
573	1337	526
574	1340	524
575	1342	522
576	1344	519
577	1347	517
578	1349	515
579	1352	512
580	1354	510
581	1356	508
582	1358	505
583	1360	503
584	1362	500
585	1365	498
586	1367	496
587	1369	493
588	1371	491
589	1373	489
590	1376	486
591	1380	485
592	1383	482
593	1385	480
594	1387	478
595	1389	475
596	1391	473
597	1393	470
598	1396	468
599	1398	466
600	1400	463
601	1403	461
602	1405	459
603	1408	456
604	1410	454
605	1412	452
606	1414	449
607	1417	447
608	1419	445
609	1421	442
610	1424	440
611	1426	438
612	1428	435
613	1431	433
614	1433	431
615	1435	428
616	1437	426
617	1441	424
618	1443	422
619	1445	419
620	1448	417
621	1450	415
622	1452	412
623	1454	410
624	1457	407
625	1459	405
626	1461	403
627	1463	400
628	1466	398
629	1468	396
630	1471	394
631	1473	391
632	1475	389
633	1477	386
634	1480	384
635	1482	382
636	1484	379
637	1487	377
638	1489	375
639	1491	372
640	1494	370
641	1496	368
642	1498	365
643	1500	363
644	1503	361
645	1505	358
646	1507	356
647	1509	354
648	1512	351
649	1514	349
650	1516	347
651	1518	344
652	1521	342
653	1523	340
654	1525	337
655	1529	335
656	1531	333
657	1533	330
658	1535	328
659	1538	326
660	1540	323
661	1543	321
662	1546	319
663	1548	317
664	1550	314
665	1552	312
666	1555	310
667	1557	307
668	1559	305
669	1562	303
670	1564	300
671	1566	298
672	1569	296
673	1571	293
